Bundesland;Landkreis;Verwaltung;man;woman;older75;catholic;evangelic
1;54;Gemeinde;698;699;112;37;926
1;54;Gemeinde;3760;3981;748;437;4757
1;54;Gemeinde;35;18;4;3;41
1;54;Gemeinde;620;621;113;43;879
1;54;Gemeinde;4597;4985;990;567;5693
1;54;Gemeinde;1795;1815;249;97;2746
1;54;Gemeinde;236;214;31;12;313
1;54;Gemeinde;127;110;17;12;163
1;54;Gemeinde;533;459;60;45;634
1;54;Gemeinde;437;425;72;15;647
1;54;Gemeinde;1120;1171;237;82;1599
1;54;Gemeinde;113;123;10;0;151
1;54;Gemeinde;187;200;40;9;263
1;54;Gemeinde;184;203;39;13;276
1;54;Gemeinde;331;313;59;35;456
1;54;Gemeinde;496;487;95;48;675
1;54;Gemeinde;560;556;87;62;857
1;54;Gemeindeverband;11298;11577;1951;1090;16372
1;54;Gemeinde;180;155;35;0;277
1;54;Gemeinde;286;341;85;37;390
1;54;Gemeinde;16;21;7;0;31
1;54;Gemeinde;69;39;16;3;61
1;54;Gemeinde;1255;1287;153;108;1829
1;54;Gemeinde;160;144;27;18;210
1;54;Gemeinde;374;360;46;25;573
1;54;Gemeinde;110;92;15;13;127
1;54;Gemeinde;461;454;65;22;684
1;54;Gemeinde;1795;1986;365;108;2708
1;54;Gemeinde;1084;1189;293;287;1560
1;54;Gemeinde;338;313;34;9;477
1;54;Gemeinde;222;213;26;16;361
1;54;Gemeinde;744;787;116;58;1124
1;54;Gemeinde;220;229;44;9;336
1;54;Gemeinde;836;800;118;75;1145
1;54;Gemeinde;647;671;129;67;950
1;54;Gemeinde;291;301;41;31;399
1;54;Gemeinde;388;398;59;46;544
1;54;Gemeinde;9;10;0;0;10
1;54;Gemeinde;93;74;11;6;126
1;54;Gemeinde;144;139;19;9;196
1;54;Gemeinde;353;367;60;12;555
1;54;Gemeinde;60;57;6;15;78
1;54;Gemeinde;407;401;74;34;567
1;54;Gemeinde;505;522;60;50;721
1;54;Gemeinde;251;227;47;32;333
1;54;Gemeindeverband;10114;10263;1751;824;15082
1;54;Gemeinde;256;260;33;18;378
1;54;Gemeinde;300;259;33;27;403
1;54;Gemeinde;300;305;51;19;474
1;54;Gemeinde;358;375;56;28;556
1;54;Gemeinde;1040;1005;150;65;1533
1;54;Gemeinde;2441;2642;588;298;3449
1;54;Gemeinde;1149;1206;176;64;1792
1;54;Gemeinde;656;603;70;19;1035
1;54;Gemeinde;163;174;15;3;268
1;54;Gemeinde;205;208;27;27;282
1;54;Gemeinde;223;234;49;18;356
