age,sex,educ,income,eastwest,happiness,health,lived_abroad
46,0,4,600,1,5,2,0
57,0,3,800,1,8,3,0
54,0,3,1200,1,10,5,1
49,1,3,2000,0,8,4,0
76,1,5,6250,1,10,4,1
52,1,5,7500,1,8,4,0
23,1,3,700,1,6,3,0
66,1,3,1590,0,7,3,0
68,1,5,1900,1,7,4,1
42,1,5,400,1,8,4,1
72,1,5,8000,1,9,4,0
29,0,5,800,1,10,5,0
37,0,5,563,1,7,3,1
38,0,5,3600,0,8,5,0
43,0,5,2000,1,6,3,0
19,0,5,700,1,7,5,1
66,1,5,1200,0,8,3,0
27,0,5,2400,0,6,4,0
35,0,3,1300,1,8,4,0
33,1,3,1220,0,6,3,0
56,0,3,1000,0,7,2,0
34,0,3,280,0,9,5,0
53,1,5,3500,1,8,4,0
27,1,4,2000,0,8,3,0
70,1,2,2100,1,8,3,0
68,1,3,3000,1,7,3,1
35,1,5,1500,1,7,4,0
73,0,3,1000,1,4,1,0
30,0,4,1200,1,9,4,0
21,1,5,450,1,10,5,0
36,0,5,850,0,6,4,1
81,0,4,2200,1,10,3,0
68,0,3,890,1,10,4,1
71,0,3,1400,1,9,4,0
86,0,2,1200,1,8,3,0
84,0,2,2000,0,9,3,0
52,1,2,4200,1,9,4,0
53,1,3,3300,1,9,5,0
48,0,5,1500,1,8,3,0
18,1,3,480,1,9,5,0
47,1,3,2500,1,8,3,0
70,1,2,563,1,5,2,0
50,0,5,2000,1,8,5,1
90,0,3,1100,0,10,4,0
47,0,3,813,1,9,3,0
46,0,5,4300,1,9,4,0
24,1,3,1100,0,7,4,0
48,1,4,3500,1,8,4,0
53,1,3,750,1,5,1,1
45,1,4,2600,1,8,4,0
68,1,2,1800,1,10,4,0
22,0,5,750,1,9,4,0
65,0,3,813,0,8,3,1
38,1,3,2250,1,8,3,1
66,1,2,750,1,5,2,0
30,1,4,1650,0,8,4,0
76,0,5,1400,0,10,5,1
49,1,2,1000,1,5,3,0
24,0,3,930,0,9,4,0
50,1,3,4000,1,10,5,0
88,1,2,1875,1,7,2,0
36,1,5,2300,0,8,4,0
51,1,5,1900,1,5,4,1
19,1,3,450,1,6,4,0
44,0,3,1250,0,8,3,0
39,1,3,1438,0,9,4,0
58,0,4,3100,1,8,3,0
60,0,5,5500,1,10,5,0
54,0,2,1438,1,7,4,0
50,0,5,5000,1,9,4,0
24,1,2,1800,1,7,4,1
61,1,3,600,1,6,2,0
58,1,3,3400,1,9,2,0
45,1,5,8750,1,9,5,1
78,1,2,1000,0,6,3,0
38,0,5,900,1,7,3,1
39,0,5,650,1,9,4,1
68,1,3,950,0,7,2,1
34,1,3,2900,1,10,5,1
33,1,3,1800,0,5,5,0
61,0,3,800,0,8,3,1
26,0,5,2000,1,5,4,1
66,0,5,1800,0,9,4,0
29,0,3,1500,1,10,4,0
32,1,5,2450,1,8,4,1
70,1,2,1100,0,5,3,0
44,1,3,2875,1,9,3,0
82,1,3,1800,0,8,4,0
38,1,3,1350,0,8,4,0
21,1,2,1200,1,4,4,0
48,1,5,1188,0,3,5,0
76,0,3,800,1,10,4,0
35,0,2,938,0,8,4,0
28,0,4,1625,1,8,5,0
64,0,5,3000,1,8,4,0
24,0,5,570,0,8,4,0
26,0,5,480,1,8,5,1
67,1,5,7500,1,10,4,0
88,0,2,1100,0,10,3,1
78,1,3,1400,0,8,4,0
62,0,3,900,0,9,3,0
60,0,5,1900,0,5,2,0
64,0,2,700,1,10,4,0
27,1,5,3000,0,8,5,0
75,0,3,78,1,10,4,0
53,0,3,938,0,7,4,0
53,0,3,800,1,7,4,1
