age,sex,educ,income,eastwest,happiness,health,lived_abroad,spectrum
50,0,2,650,1,8,2,0,1
78,1,1,3000,1,10,2,0,0
18,0,2,580,1,7,2,0,3
77,1,2,1200,0,5,1,0,0
48,0,4,1500,1,7,3,0,1
43,0,2,2400,0,8,3,0,1
82,0,1,1200,0,6,2,0,0
30,1,2,2600,1,8,2,0,1
65,0,1,1000,1,8,2,1,3
77,0,1,1000,1,9,3,0,1
77,1,2,1100,0,8,2,1,0
54,0,4,1000,1,5,1,0,2
75,1,2,970,0,6,2,0,2
65,0,2,850,0,9,3,0,0
49,0,4,1313,1,10,4,0,1
46,1,1,2000,1,9,3,0,3
64,1,4,755,1,10,3,1,2
73,1,2,860,0,5,1,0,0
69,0,1,1800,1,9,3,1,0
74,1,2,850,1,10,1,0,0
61,0,2,500,0,8,1,0,1
43,0,1,400,1,8,1,0,0
44,1,2,1200,0,6,2,0,0
29,1,2,1438,0,6,2,0,0
33,0,3,827,0,9,3,0,0
42,1,2,2500,1,8,2,0,2
39,1,4,2300,0,8,3,0,2
42,0,4,364,1,7,0,1,3
74,0,1,580,0,6,3,0,0
34,0,4,2800,1,8,3,0,0
26,0,2,500,1,10,4,0,0
23,0,4,550,1,9,4,0,0
52,1,2,2100,0,6,3,0,1
50,0,2,1500,1,9,3,0,1
49,0,3,2096,1,4,1,1,2
61,1,4,1200,1,9,3,0,1
32,0,4,2375,1,8,3,0,1
33,1,4,1300,0,8,3,0,2
38,0,4,1200,1,8,3,0,2
80,1,1,1200,1,5,3,1,1
56,1,4,2125,0,8,2,0,2
90,1,1,1800,0,5,0,0,2
38,1,3,2500,1,10,2,0,1
78,0,1,1300,0,8,2,1,2
67,0,4,2400,1,10,3,0,0
77,1,2,1800,1,10,2,0,1
64,1,1,1600,1,7,2,0,1
46,0,2,300,0,8,3,0,2
56,1,2,2125,1,8,2,1,1
53,1,2,2625,1,7,3,0,0
57,0,2,3000,1,10,4,0,2
28,1,3,3300,0,8,3,0,1
30,0,2,800,1,6,2,1,3
57,1,1,2250,1,9,3,0,2
49,1,2,1300,1,8,1,0,2
65,1,1,1000,0,7,2,0,3
50,1,1,2500,1,7,2,0,0
57,0,1,780,1,8,1,0,0
77,0,1,700,1,8,3,0,1
30,1,2,1600,1,10,4,0,2
51,1,1,720,1,2,0,0,3
49,1,4,4000,1,8,3,0,2
45,1,4,4600,1,7,3,1,1
52,1,1,1300,1,3,3,0,1
31,0,2,1400,0,7,3,0,3
53,0,2,450,0,2,0,0,3
43,1,2,1188,0,8,3,0,3
64,1,1,1700,1,8,3,0,0
64,1,4,1900,0,10,4,0,1
47,1,4,4500,1,9,4,0,1
29,1,1,1600,0,8,3,0,3
50,0,2,1313,1,5,2,0,0
63,0,3,2500,1,8,3,0,1
24,0,4,500,1,8,2,0,0
75,1,1,1500,1,8,3,0,1
80,1,4,2000,0,6,2,0,2
45,1,2,688,1,4,1,1,0
70,0,1,320,1,8,3,0,1
40,1,4,1840,1,7,3,0,2
63,0,0,220,1,10,2,0,0
32,0,4,3400,1,10,3,1,1
38,0,4,1188,0,9,3,0,2
25,1,3,300,1,9,4,0,3
49,0,1,700,1,9,2,0,1
76,1,1,2300,1,9,2,0,1
40,0,4,2000,0,8,3,1,2
80,0,2,938,1,10,1,0,1
19,1,3,300,1,7,4,0,0
49,1,2,3300,0,8,3,0,1
23,0,2,1500,1,8,3,0,0
52,0,2,2350,1,9,4,0,0
61,0,2,1063,1,10,3,0,2
20,0,4,720,1,9,4,0,0
70,1,2,615,0,6,1,0,2
62,0,2,900,1,7,3,1,1
68,1,2,2400,1,7,2,0,1
26,0,4,1620,1,9,3,0,2
62,0,3,1550,1,7,2,1,0
56,1,4,4250,0,9,3,1,3
40,0,2,1400,0,6,1,0,2
28,0,4,450,1,8,4,0,0
59,0,2,1650,0,9,3,0,1
58,0,2,1700,0,6,2,0,2
76,1,1,1200,1,9,1,0,1
47,1,4,2125,1,8,2,0,0
50,0,2,1100,1,7,3,0,2
48,1,2,8000,1,9,2,0,0
59,1,4,4100,0,9,2,0,1
59,1,3,5000,1,8,3,0,1
62,0,1,1000,1,9,4,0,1
53,1,4,3000,1,10,1,0,1
20,1,4,500,1,10,4,0,0
34,1,2,3000,0,8,3,0,3
53,1,3,4000,1,7,3,0,1
56,0,2,600,1,9,3,1,2
59,1,2,3450,1,9,4,0,0
83,1,2,2200,1,10,3,0,1
25,1,1,1600,1,7,3,0,3
38,1,4,3500,0,9,2,1,1
86,0,2,550,1,6,2,0,2
45,1,2,2200,0,9,2,0,1
27,1,2,2000,1,8,4,0,1
25,0,2,1300,1,8,3,0,0
78,1,1,890,0,7,2,0,3
42,0,3,450,1,9,4,0,1
58,1,2,3000,1,9,3,0,1
51,1,3,3200,1,9,4,0,2
54,0,2,1100,1,7,3,0,2
63,0,2,1450,0,9,3,0,1
64,1,4,2600,1,9,4,1,1
60,1,2,2600,1,10,3,0,0
47,0,2,3000,1,8,3,0,1
66,1,2,600,0,8,1,0,1
80,1,1,1625,1,10,1,1,1
57,0,1,600,1,10,1,0,3
69,1,1,1200,0,8,3,0,1
61,1,2,7500,1,8,3,0,1
51,0,2,2000,0,5,4,1,2
44,1,4,3300,1,8,2,0,1
65,1,2,2600,1,8,2,0,1
52,0,3,1100,1,10,3,0,0
45,0,4,1500,1,10,3,0,1
80,0,1,1000,0,9,3,0,1
46,0,3,600,1,5,1,0,0
57,0,2,800,1,8,2,0,1
54,0,2,1200,1,10,4,1,2
49,1,2,2000,0,8,3,0,1
76,1,4,6250,1,10,3,1,1
52,1,4,7500,1,8,3,0,1
23,1,2,700,1,6,2,0,2
66,1,2,1590,0,7,2,0,3
68,1,4,1900,1,7,3,1,0
42,1,4,400,1,8,3,1,2
72,1,4,8000,1,9,3,0,3
29,0,4,800,1,10,4,0,2
37,0,4,563,1,7,2,1,0
38,0,4,3600,0,8,4,0,1
43,0,4,2000,1,6,2,0,0
19,0,4,700,1,7,4,1,2
66,1,4,1200,0,8,2,0,3
27,0,4,2400,0,6,3,0,2
