transmission,cylinder,car_size,year,mpg_city,mpg_highway,displacement
auto,4,midsize,1985,17.0,22.0,2.214
auto,4,midsize,1985,19.0,23.0,2.214
auto,4,midsize,1985,18.0,21.0,2.5584
manual,4,midsize,1985,21.0,31.0,2.214
manual,4,midsize,1985,17.0,26.0,2.214
auto,4,midsize,1985,18.0,21.0,2.214
auto,4,midsize,1985,21.0,24.0,2.214
auto,4,midsize,1985,18.0,21.0,2.5584
auto,4,midsize,1985,21.0,26.0,2.214
manual,4,midsize,1985,23.0,30.0,2.214
manual,4,midsize,1985,22.0,30.0,2.214
auto,4,midsize,1985,21.0,24.0,2.214
auto,4,midsize,1985,18.0,22.0,2.5584
lock-up,8,midsize,1985,15.0,20.0,5.2152
lock-up,8,midsize,1985,11.0,14.0,5.2152
auto,4,midsize,1985,18.0,21.0,2.214
auto,4,midsize,1985,21.0,24.0,2.214
auto,4,midsize,1985,18.0,22.0,2.296
lock-up,6,midsize,1985,16.0,20.0,3.7884
lock-up,8,midsize,1985,15.0,22.0,4.9528
auto,4,midsize,1985,18.0,23.0,2.296
lock-up,6,midsize,1985,17.0,20.0,3.7884
lock-up,8,midsize,1985,15.0,22.0,4.9528
auto,8,midsize,1985,13.0,15.0,4.9692
auto,8,midsize,1985,13.0,15.0,4.9692
auto,8,midsize,1985,13.0,15.0,4.9692
auto,8,midsize,1985,13.0,15.0,4.9692
lock-up,8,midsize,1985,15.0,22.0,4.9528
lock-up,6,midsize,1985,16.0,20.0,3.7884
auto,4,midsize,1985,18.0,22.0,2.296
lock-up,8,midsize,1985,15.0,21.0,4.9528
lock-up,8,midsize,1985,15.0,21.0,4.9528
lock-up,6,midsize,1985,21.0,26.0,2.4436
lock-up,8,midsize,1985,15.0,21.0,4.9528
lock-up,6,midsize,1985,21.0,26.0,2.4436
lock-up,8,midsize,1985,15.0,21.0,4.9528
auto,4,midsize,1985,18.0,23.0,2.296
lock-up,6,midsize,1985,17.0,20.0,3.7884
lock-up,8,midsize,1985,15.0,22.0,4.9528
lock-up,8,midsize,1985,7.0,10.0,4.9364
lock-up,8,midsize,1985,7.0,10.0,4.9364
auto,8,midsize,1985,13.0,15.0,4.9692
auto,8,midsize,1985,13.0,15.0,4.9692
lock-up,4,midsize,1985,21.0,29.0,2.4764
lock-up,6,midsize,1985,16.0,24.0,2.9684
lock-up,6,midsize,1985,15.0,23.0,2.9684
lock-up,6,midsize,1985,16.0,23.0,3.7884
lock-up,6,midsize,1985,23.0,32.0,4.3132
lock-up,6,midsize,1985,21.0,29.0,4.3132
lock-up,8,midsize,1985,15.0,20.0,5.0348
lock-up,8,midsize,1985,15.0,22.0,5.0348
lock-up,8,midsize,1985,18.0,26.0,5.74
lock-up,8,midsize,1985,15.0,20.0,5.0348
lock-up,8,midsize,1985,18.0,26.0,5.74
